Human,Mice
IKBKG,Ikbkg
RNU6-19P,Gm23790
SHISA5,Shisa5
HSPB7,Hspb7
ASRGL1,Asrgl1
STRA6,Stra6
UBR2,Ubr2
CDK5RAP2,Cdk5rap2
TAF11,Taf11
DLG4,Dlg4
ZNF91,Zfp869
CYP4B1,Cyp4b1
PARP4,Parp4
NSD3,Nsd3
ABHD5,Abhd5
TERB2,Terb2
MCOLN1,Mcoln1
S100A4,S100a4
AQP12A,Aqp12
RPS11,Rps11
IGLC2,Iglc2
SH3BP5L,Sh3bp5l
NEIL2,Neil2
OTP,Otp
CAPZA2,Capza2
GPR37,Gpr37
SIGMAR1,Sigmar1
TRPV3,Trpv3
SRRT,Srrt
STIM2,Stim2
CAMTA2,Camta2
PCP4L1,Pcp4l1
MIR874,Mir874
SLC50A1,Slc50a1
FRMD8,Frmd8
GBP7,Gbp7
CEP95,Cep95
CILP,Cilp
CNBD1,Cnbd1
NEIL1,Neil1
NXN,Nxn
VPS50,Vps50
ADAM18,Adam18
AKAP9,Akap9
MIR330,Mir330
YPEL4,Ypel4
CLCN3,Clcn3
ARHGAP39,Arhgap39
ARHGAP9,Arhgap9
FAM20A,Fam20a
DUSP18,Dusp18
CEBPE,Cebpe
SLC9A2,Slc9a2
TMEM87A,Tmem87a
BSPH1,Bsph1
RPPH1,Rpph1
DACH1,Dach1
SLC2A13,Slc2a13
MCTP2,Mctp2
ABHD16A,Abhd16a
CCDC129,Ccdc129
SNRPA1,Snrpa1
MAP7,Map7
CALD1,Cald1
CHIA,Chia1
SKA2,Ska2
TMEM139,Tmem139
SMG9,Smg9
CDA,Cda
MGAT1,Mgat1
SLC16A10,Slc16a10
CRY2,Cry2
UMODL1,Umodl1
KIAA1551,2810474O19Rik
IDUA,Idua
AGAP1,Agap1
TAGAP,Tagap
CCL21,Ccl21b
FBXO22,Fbxo22
PLCD4,Plcd4
OR1D2,Olfr412
MAP3K6,Map3k6
PGK2,Pgk2
CHD6,Chd6
IMPA2,Impa2
HSD17B2,Hsd17b2
ZSWIM5,Zswim5
ANPEP,Anpep
TRIM39,Trim39
BCL7A,Bcl7a
TSPAN6,Tspan6
UTS2,Uts2
SCARNA18B,Gm25663
PCDHA5,Pcdha5
ARL14EPL,Arl14epl
ACTN2,Actn2
IRX4,Irx4
SPATA22,Spata22
APBA1,Apba1
MIR155,Mir155
RGMA,Rgma
C8B,C8b
NT5C1A,Nt5c1a
CD207,Cd207
SCYL2,Scyl2
PRKG1,Prkg1
TRAF7,Traf7
ZNF799,Zfp799
HHATL,Hhatl
ITGA5,Itga5
CUL3,Cul3
PPM1N,Ppm1n
BLMH,Blmh
RUNDC3A,Rundc3a
RPRM,Rprm
PIANP,Pianp
BPIFA2,Bpifa2
LHFPL1,Lhfpl1
OTUD5,Otud5
POMGNT2,Pomgnt2
DLX6,Dlx6
SIM1,Sim1
RNPC3,Rnpc3
AMBP,Ambp
PFKP,Pfkp
CRYGD,Crygd
CLEC4G,Clec4g
ZFP41,Zfp41
AC020613.1,Pde6h
ZC3H6,Zc3h6
HS3ST2,Hs3st2
LRRCC1,Lrrcc1
SGCE,Sgce
RNU6-376P,Gm25720
NUDT1,Nudt1
SLC38A2,Slc38a2
TUSC3,Tusc3
ACTA1,Acta1
A2M,A2m
OR2A25,Olfr447
RRN3,Rrn3
MAP1LC3A,Map1lc3a
TYMP,Tymp
METTL27,Mettl27
KCTD17,Kctd17
TAS2R46,Tas2r120
SLC2A10,Slc2a10
C8orf48,AI429214
ARHGAP21,Arhgap21
NUTM2B,Gm806
TMED7,Tmed7
RBM14,Rbm14
GCA,Gca
RNU6-1301P,Gm24234
RNU6-539P,Gm25186
AC005551.1,Gm48552
TMEM145,Tmem145
PEX5L,Pex5l
RPS16,Rps16
ROBO2,Robo2
AGXT,Agxt
YPEL3,Ypel3
COX4I2,Cox4i2
OTOL1,Otol1
PFDN6,H2-Ke2
CYLD,Cyld
BAIAP2L2,Baiap2l2
HS6ST1,Hs6st1
GTSE1,Gtse1
LTB,Ltb
UBE2QL1,Ube2ql1
FKTN,Fktn
CLCN7,Clcn7
PITPNM3,Pitpnm3
MAP3K15,Map3k15
TXNDC16,Txndc16
CYB5R1,Cyb5r1
UGT2A3,Ugt2a3
NCKAP5,Nckap5
ATP6V0A2,Atp6v0a2
AVP,Avp
CRTC1,Crtc1
MAGI2,Magi2
GATM,Gatm
MIR511,Mir511
GIPC1,Gipc1
CARMIL2,Carmil2
ADPRM,Adprm
SOX7,Sox7
TNR,Tnr
CHCHD1,Chchd1
MICU2,Micu2
SMIM20,Smim20
AVPR2,Avpr2
PRAMEF12,Pramef12
RGR,Rgr
ERICH4,Gm7092
ACBD7,Acbd7
STAT5A,Stat5a
C15orf41,BC052040
SCARNA22,Gm22728
ERCC4,Ercc4
HIST2H2AA4,Hist2h2aa1
METTL7B,Mettl7b
TTYH1,Ttyh1
Z83844.3,Gm49510
HOXD13,Hoxd13
CEP76,Cep76
FAM84B,Fam84b
AC139530.1,Pde6g
GLI2,Gli2
CPB2,Cpb2
CYP3A5,Cyp3a41b
GABRD,Gabrd
KRR1,Krr1
LPCAT3,Lpcat3
LDAH,Ldah
PON3,Pon3
CYP4F12,Cyp4f14
TMEM8A,Tmem8
APOB,Apob
HIST1H3F,Hist1h3i
RRAGA,Rraga
F7,F7
ETFDH,Etfdh
KCNJ12,Kcnj12
SNAI3,Snai3
THBS4,Thbs4
LYG2,Lyg2
AMY2B,Amy2a5
TANC1,Tanc1
VPS37B,Vps37b
SYTL5,Sytl5
HMGCL,Hmgcl
ENDOG,Endog
SLC16A2,Slc16a2
ARMC2,Armc2
LIPE,Lipe
PLP2,Plp2
MIR26A1,Mir26a-1
MRPS11,Mrps11
GBP5,Gbp5
GRM5,Grm5
ZADH2,Zadh2
XDH,Xdh
DCLK3,Dclk3
TRPC3,Trpc3
UBE2D1,Ube2d1
CLNS1A,Clns1a
P2RX4,P2rx4
ZSCAN25,Zscan25
PTGES,Ptges
RUFY2,Rufy2
PDZD9,Pdzd9
OR4C45,Olfr1263
DEUP1,Deup1
CCDC85A,Ccdc85a
MIR22,Mir22
RPL4,Rpl4
KLF12,Klf12
MYL9,Myl9
TMEM144,Tmem144
DCHS1,Dchs1
COX7B2,Cox7b2
STAT6,Stat6
TEDC2,Tedc2
CREB1,Creb1
RACK1,Rack1
MIR124-3,Mir124a-3
SEMA4A,Sema4a
PFN4,Pfn4
ADAMTS9,Adamts9
ZFP42,Zfp42
TMBIM4,Tmbim4
SLC17A2,Slc17a2
ARNTL,Arntl
ATXN7L3B,Atxn7l3b
ABHD8,Abhd8
RNU6-1011P,Gm25204
SLC18A2,Slc18a2
CSNK1G3,Csnk1g3
NUPR2,Nupr1l
PHKG2,Phkg2
GPR149,Gpr149
CDKN2A,Cdkn2a
MAPK7,Mapk7
CDK4,Cdk4
ZNF358,Zfp358
PLCD1,Plcd1
DNAJB2,Dnajb2
CCT6A,Cct6a
PRDX1,Prdx1
REPS1,Reps1
PCGF3,Pcgf3
PHF6,Phf6
RF01970,Gm27999
OR5L2,Olfr1156
SHROOM4,Shroom4
SRSF4,Srsf4
CNNM1,Cnnm1
MYO18A,Myo18a
WNT5B,Wnt5b
RN7SKP68,Gm25320
PYROXD1,Pyroxd1
TEAD3,Tead3
MGAT5B,Mgat5b
RFPL4B,Rfpl4b
RNU6-75P,Gm23853
MPV17L,Mpv17l
ZDHHC17,Zdhhc17
TBC1D14,Tbc1d14
OR6C76,Olfr798
MOK,Stk30
PTPRB,Ptprb
FKBP7,Fkbp7
TPPP,Tppp
EGFL7,Egfl7
PAN2,Pan2
C16orf86,4933405L10Rik
CNN2,Cnn2
TTC26,Ttc26
DHODH,Dhodh
TMEM62,Tmem62
SOWAHD,Sowahd
ERICH5,BC030476
ADGRB3,Adgrb3
CDCA5,Cdca5
SLC16A14,Slc16a14
MST1R,Mst1r
APOBEC3H,Apobec3
MAP2K3,Map2k3
KRT79,Krt79
ZNF821,Zfp821
LTN1,Ltn1
SCAF4,Scaf4
KRT8,Krt8
TBC1D10A,Tbc1d10a
SRSF1,Srsf1
LBX2,Lbx2
COPS4,Cops4
STK17B,Stk17b
OR5M11,Olfr1028
ACSL1,Acsl1
PFDN5,Pfdn5
POLR3B,Polr3b
P3R3URF,1700042G07Rik
EIF2D,Eif2d
GPALPP1,Gpalpp1
REEP1,Reep1
REEP2,Reep2
ACTR1A,Actr1a
NRP1,Nrp1
RYR1,Ryr1
ZNF367,Zfp367
GTSF1L,Gtsf1l
RF01159,Gm22571
TUBD1,Tubd1
MPPED1,Mpped1
APPL1,Appl1
KRTAP24-1,Krtap24-1
TRAFD1,Trafd1
TENM4,Tenm4
RPS8,Rps8
WDR31,Wdr31
RGPD3,Ranbp2
DNAH7,Dnah7c
RNASE4,Rnase4
BEAN1,Bean1
SPINT4,Spint4
MRAP2,Mrap2
ZNF605,Zfp605
FERMT3,Fermt3
TASOR2,Fam208b
SNORD63B,Gm22200
STX3,Stx3
HDLBP,Hdlbp
ETV3,Etv3
CADPS,Cadps
HMBOX1,Hmbox1
MTG1,Mtg1
GPR19,Gpr19
CPNE2,Cpne2
OAT,Oat
ZNF660,LOC102639251
C17orf105,1700006E09Rik
MYBL2,Mybl2
TMEM87B,Tmem87b
SLC2A3,Slc2a3
S1PR5,S1pr5
OSTC,Ostc
BAD,Bad
AKR1B10,Akr1b8
BBOF1,Bbof1
APIP,Apip
LMOD3,Lmod3
HCRTR2,Hcrtr2
PLAGL2,Plagl2
SNORD31B,Gm23246
BRCA2,Brca2
C1orf122,1110065P20Rik
NANOS3,Nanos3
BRDT,Brdt
TP53INP1,Trp53inp1
HNRNPF,Hnrnpf
CEBPZ,Cebpz
SAR1B,Sar1b
NALCN,Nalcn
PEAR1,Pear1
FAM169B,Fam169b
AMBRA1,Ambra1
TASP1,Tasp1
VWA5A,Vwa5a
NPRL3,Nprl3
KRT81,Krt81
GASK1B,Fam198b
PLEK,Plek
TMEM255B,Tmem255b
CTDSPL,Ctdspl
HCN2,Hcn2
HEBP1,Hebp1
ST6GAL1,St6gal1
FCHSD2,Fchsd2
FAM170A,Fam170a
ZFP62,Zfp62
SSBP1,Ssbp1
MGME1,Mgme1
EPHA8,Epha8
OXR1,Oxr1
DPEP1,Dpep1
SEPT10,Sept10
STAG1,Stag1
MIR192,Mir192
SCAMP1,Scamp1
CSK,Csk
MINDY4,Mindy4
SETD6,Setd6
CBLIF,Gif
ATP5L,Atp5l
PARS2,Pars2
KRTAP5-5,Krtap5-5
RNU6-476P,Gm22062
RAMP2,Ramp2
KIF5C,Kif5c
GCNT7,Gcnt7
TMEM116,Tmem116
LRP11,Lrp11
NDRG4,Ndrg4
HOXD9,Hoxd9
MAN2B2,Man2b2
TMEM199,Tmem199
GZMK,Gzmk
TMEM140,Tmem140
SLC25A30,Slc25a30
RPL17,Rpl17
AC073896.1,Cnpy2
SETD1B,Setd1b
ITGAD,Itgad
H2BFM,H2bfm
SSTR5,Sstr5
AKR1A1,Akr1a1
GPKOW,Gpkow
FBXO2,Fbxo2
LAPTM4B,Laptm4b
MAP3K8,Map3k8
DSEL,Dsel
A4GALT,A4galt
INSR,Insr
EIF2S2,Eif2s2
CMC2,Cmc2
C5orf22,6030458C11Rik
C19orf57,4930432K21Rik
MYB,Myb
AAAS,Aaas
ADO,Ado
MAP1B,Map1b
LRRC28,Lrrc28
TTC12,Ttc12
SEC14L4,Sec14l4
PKHD1,Pkhd1
UQCRHL,Uqcrh
AL022312.1,AC140267.1
AWAT2,Awat2
ATP5PD,Atp5h
RF01928,Gm27528
MRGPRX2,Mrgprb1
DLX2,Dlx2
CLSTN2,Clstn2
HTATSF1,Htatsf1
RF02119,Gm27798
RAP1A,Rap1a
STX7,Stx7
CLEC4C,Clec4b1
GAL3ST3,Gal3st3
PET117,Pet117
ADARB1,Adarb1
TRAPPC12,Trappc12
USP9Y,Usp9y
RNU6-796P,Gm25634
ISM2,Ism2
MIR378A,Mir378a
UST,Ust
STAU1,Stau1
TUBB4A,Tubb4a
HECTD1,Hectd1
MXI1,Mxi1
MCM4,Mcm4
CAPN15,Capn15
TMEM210,Tmem210
CCDC153,Ccdc153
GHRH,Ghrh
GNAO1,Gnao1
EMC3,Emc3
F2R,F2r
SERPINF1,Serpinf1
GPAT2,Gpat2
CNDP2,Cndp2
STRBP,Strbp
OR1N2,Olfr354
JAM3,Jam3
ZYG11B,Zyg11b
ZNF93,Zfp457
PCARE,Pcare
CLVS2,Clvs2
KLK9,Klk9
FAS,Fas
ABCG8,Abcg8
MUC5B,Muc5b
PGM2,Pgm1
CPLX4,Cplx4
SERPINB12,Serpinb12
PPAN,Ppan
POLN,Poln
RIPOR2,Ripor2
SCGB3A2,Scgb3a2
CLTB,Cltb
SNORD15B,Snord15b
PES1,Pes1
NAGS,Nags
DHX16,Dhx16
SPATA20,Spata20
ZNF260,Zfp260
INAFM2,Inafm2
SLC2A4,Slc2a4
MAS1,Mas1
TESK1,Tesk1
GPR1,Gpr1
UGT2A2,Ugt2a2
SNORD42A,Snord42a
DHX36,Dhx36
IFT46,Ift46
HCAR2,Niacr1
RNU6-1260P,Gm26420
USP21,Usp21
ACER2,Acer2
HBG2,Hbb-y
SNORA71E,Gm25187
SNORD68,Snord68
IGSF21,Igsf21
GAS2,Gas2
MARC1,Marc1
PSD2,Psd2
CCDC80,Ccdc80
PGAP1,Pgap1
PRR14,Prr14
SPIDR,Spidr
CAPN7,Capn7
TPD52L2,Tpd52l2
KLHL3,Klhl3
FAM185A,Fam185a
PRKCZ,Prkcz
CALHM2,Calhm2
CAP1,Cap1
CNOT8,Cnot8
RN7SKP74,Gm25545
SNORA33,Snora33
TNNI3,Tnni3
VSIG1,Vsig1
SEPT9,Sept9
NIPAL4,Nipal4
MMP1,Mmp1a
HIST1H2BO,Hist1h2bp
FBH1,Fbh1
CCDC82,Ccdc82
KLHDC7A,Klhdc7a
SAA2-SAA4,Saa4
NRXN3,Nrxn3
MBD1,Mbd1
APOL2,Apol8
TEX38,Tex38
PCDHB2,Pcdhb2
NSMCE4A,Nsmce4a
EPRS,Eprs
BBS12,Bbs12
RBM20,Rbm20
MKL1,Mkl1
CCDC28A,Ccdc28a
GLS,Gls
INO80B,Ino80b
HIST1H4B,Hist4h4
SGTA,Sgta
PIK3C2B,Pik3c2b
CHGA,Chga
KDM5D,Kdm5d
AJUBA,Ajuba
PCDHGA6,Pcdhga6
PDE4DIP,Pde4dip
OR2W3,Olfr322
SLC27A2,Slc27a2
GRXCR1,Grxcr1
PRPF40B,Prpf40b
NDST4,Ndst4
HDHD2,Hdhd2
SMU1,Smu1
PSMA8,Psma8
LIG1,Lig1
PFDN4,Pfdn4
SLC41A1,Slc41a1
PIGC,Pigc
RF02042,Gm27383
MDFIC2,Gm765
TMEM43,Tmem43
ABCA9,Abca9
MEIG1,Meig1
PARD3,Pard3
UNC50,Unc50
THTPA,Thtpa
CDK11A,Cdk11b
CKAP2,Ckap2
PPM1D,Ppm1d
MRPS12,Mrps12
WNT9A,Wnt9a
PXMP4,Pxmp4
CCDC185,Ccdc185
LTBP1,Ltbp1
ACOT13,Acot13
ANGPT2,Angpt2
ACVR1B,Acvr1b
ARHGAP11A,Arhgap11a
ATXN7L3,Atxn7l3
BATF2,Batf2
TEX14,Tex14
SLC25A47,Slc25a47
FGFBP3,Fgfbp3
RNU6-1196P,Gm26099
QTRT2,Qtrt2
OR10AD1,Olfr287
IRF1,Irf1
SAP30L,Sap30l
ATP6AP1L,Atp6ap1l
AQP6,Aqp6
DSTN,Dstn
H2AFZ,H2afz
WNT1,Wnt1
TRPC6,Trpc6
TRMT13,Trmt13
C5orf63,C330018D20Rik
CORO1B,Coro1b
PUS3,Pus3
MED26,Med26
CTSZ,Ctsz
ZNF346,Zfp346
SVIL,Svil
IQGAP1,Iqgap1
PYCARD,Pycard
ZNF365,Zfp365
ORAI3,Orai3
HLCS,Hlcs
CD300LG,Cd300lg
SPATA19,Spata19
USP5,Usp5
PLSCR4,Plscr4
XPO5,Xpo5
STARD5,Stard5
EDDM13,Epp13
H2AFJ,H2afj
KLHL23,Klhl23
ASNSD1,Asnsd1
ABCA13,Abca13
TRIM37,Trim37
MIR17,Mir17
SERPINA6,Serpina6
SP2,Sp2
CLBA1,Clba1
METTL7A,Mettl7a1
ECPAS,Ecpas
IFT43,Ift43
STXBP5,Stxbp5
ASIC5,Asic5
SLC39A8,Slc39a8
EZR,Ezr
TUBG1,Tubg1
VDAC2,Vdac2
NPLOC4,Nploc4
ADORA2A,Adora2a
RALGAPB,Ralgapb
PSEN1,Psen1
RABEP1,Rabep1
FAM187A,Fam187a
TTC9,Ttc9
FOXRED1,Foxred1
UBN2,Ubn2
CDH7,Cdh7
GPN1,Gpn1
COL9A1,Col9a1
C1orf54,BC028528
TM6SF2,Tm6sf2
FGF1,Fgf1
DNASE2,Dnase2a
C4B,C4a
MIR133A2,Mir133a-2
SEC63,Sec63
KCNQ2,Kcnq2
OR5A2,Olfr1438-ps1
EML1,Eml1
ZNF189,Zfp189
STAP2,Stap2
RBPJL,Rbpjl
ITGA7,Itga7
FBXL16,Fbxl16
ACER3,Acer3
FSTL3,Fstl3
MYL10,Myl10
CA6,Car6
AC087289.1,Trim47
F5,F5
RF01984,Gm27761
DES,Des
GRHL3,Grhl3
TFF2,Tff2
BPIFC,Bpifc
SOS2,Sos2
NRGN,Nrgn
RNU1-72P,Gm24524
LIG3,Lig3
MYO15B,Myo15b
DDC,Ddc
TMEM183A,Tmem183a
EVX2,Evx2
TRDV3,Trdv5
PLK4,Plk4
FHIT,Fhit
RNF138,Rnf138
FEZF1,Fezf1
RNU6-1065P,Gm22500
GPR17,Gpr17
RNU2-52P,Gm22073
PPM1B,Ppm1b
TNFRSF4,Tnfrsf4
POLR2I,Polr2i
LPAR2,Lpar2
SMN1,Smn1
INA,Ina
PURA,Pura
MIR665,Mir665
NSFL1C,Nsfl1c
MAD2L1,Mad2l1
FDXACB1,Fdxacb1
ACTN1,Actn1
SOX3,Sox3
TMEM104,Tmem104
HUS1,Hus1
OR5M10,Olfr1022
ARAP1,Arap1
COPG2,Copg2
PDE7B,Pde7b
DEFB110,Defb41
DNM3,Dnm3
COMMD1,Commd1
NDUFB5,Ndufb5
SRRM1,Srrm1
OR2S2,Olfr155
ZNF616,Gm13154
RNU6-325P,Gm24917
AGER,Ager
KANSL1L,Kansl1l
LIMS2,Lims2
TAS2R14,Tas2r140
SELPLG,Selplg
CENPO,Cenpo
VAX2,Vax2
SPP1,Spp1
FBXL20,Fbxl20
SBK2,Sbk2
MIR505,Mir505
MTX3,Mtx3
MBNL2,Mbnl2
ELP1,Elp1
TMEM196,Tmem196
ZBTB18,Zbtb18
GPSM2,Gpsm2
NDST3,Ndst3
USPL1,Uspl1
CAMK2G,Camk2g
C12orf66,BC048403
BMPR2,Bmpr2
TTC7B,Ttc7b
OLA1,Ola1
RGS17,Rgs17
FATE1,Fate1
KIF19,Kif19a
CRYBA4,Cryba4
DTNA,Dtna
ERC2,Erc2
SFI1,Sfi1
LYPLA2,Lypla2
PIK3R2,Pik3r2
MS4A3,Ms4a3
ERC1,Erc1
DYM,Dym
KRTAP8-1,Krtap8-1
AP4B1,Ap4b1
HCN4,Hcn4
HPGDS,Hpgds
SLC25A15,Slc25a15
ZNF583,Zfp583
PALB2,Palb2
TSPAN3,Tspan3
NIP7,Nip7
TMEM114,Cldn26
HIST1H3E,Hist1h3h
NPFF,Npff
OR13G1,Olfr309
SYT12,Syt12
HEPH,Heph
TFR2,Tfr2
FOXRED2,Foxred2
SP8,Sp8
SLX1A,Slx1b
SCML4,Scml4
SP4,Sp4
IGIP,Igip
RFX1,Rfx1
SERPINA2,Serpina1f
MYBL1,Mybl1
TMEM184B,Tmem184b
ZNF451,Zfp451
CYP26A1,Cyp26a1
HDX,Hdx
PRAMEF8,Pramef8
HIST1H2AE,Hist1h2ai
SNORD17,Snord17
ENAM,Enam
MIR30A,Mir30a
MT-ND4,mt-Nd4
RNU6-641P,Gm25473
ARL14,Arl14
DUSP21,Dusp21
SOBP,Sobp
MAP9,Map9
LSM7,Lsm7
LRRC57,Lrrc57
TPH1,Tph1
PLD6,Pld6
TCF7L2,Tcf7l2
DDX46,Ddx46
TCF23,Tcf23
NGFR,Ngfr
XXYLT1,Xxylt1
SNORA74C-1,Gm23946
PEG10,Peg10
ALS2,Als2
RSPH4A,Rsph4a
LRRC36,Lrrc36
LTBP4,Ltbp4
RTEL1,Rtel1
DNAAF3,Dnaaf3
MPI,Mpi
SBDS,Sbds
OR5V1,Olfr111
HEXD,Hexdc
IL1A,Il1a
RNU6-1,Gm22822
KCNB1,Kcnb1
MLXIP,Mlxip
REXO1,Rexo1
MAML2,Maml2
CRISP1,Crisp4
MIR409,Mir409
NR1I2,Nr1i2
CD27,Cd27
CXCR5,Cxcr5
PLEKHG5,Plekhg5
MPV17L2,Mpv17l2
WFDC8,Wfdc8
WASHC5,Washc5
SKA3,Ska3
DGCR8,Dgcr8
GJB1,Gjb1
CAMK2D,Camk2d
RPL7L1,Rpl7l1
ATP6V1H,Atp6v1h
C2CD3,C2cd3
ATG2B,Atg2b
UBIAD1,Ubiad1
VTI1A,Vti1a
GTF3C1,Gtf3c1
PPP3CB,Ppp3cb
SMAD7,Smad7
TMPRSS3,Tmprss3
SPATS2,Spats2
KCNMB2,Kcnmb2
ACAP1,Acap1
RNY3,Rny3
DLL3,Dll3
GPNMB,Gpnmb
RIN3,Rin3
KIDINS220,Kidins220
STK39,Stk39
OR7A5,Olfr57
ECHS1,Echs1
CLEC3A,Clec3a
SBSN,Sbsn
HUS1B,Hus1b
ANKUB1,Gm410
THEG,Theg
CBARP,Cbarp
ACTN4,Actn4
LRRC39,Lrrc39
MIR381,Mir381
BATF3,Batf3
GPR83,Gpr83
ACAN,Acan
CGGBP1,Cggbp1
MAPK4,Mapk4
AAMDC,Aamdc
CABLES1,Cables1
SGK3,Sgk3
CBX1,Cbx1
RN7SKP7,Gm22794
MIR502,Mir500
ARSA,Arsa
DDX21,Ddx21
MIR19A,Mir19a
KCNIP4,Kcnip4
IFT27,Ift27
RBP3,Rbp3
UBAP2L,Ubap2l
ENTPD3,Entpd3
KAT6A,Kat6a
SLC12A1,Slc12a1
CCDC94,Ccdc94
ADPGK,Adpgk
PLEKHA4,Plekha4
LRRC40,Lrrc40
ADGRD1,Adgrd1
MT-CO3,mt-Co3
OSTF1,Ostf1
ACAD11,Acad11
POM121L2,Pom121l2
COMMD9,Commd9
GALT,Galt
OR5T3,Olfr1093
POU6F2,Pou6f2
BBS4,Bbs4
GRAMD1C,Gramd1c
OR13F1,Olfr275
APLP1,Aplp1
SCLY,Scly
GRK5,Grk5
FAM83D,Fam83d
ASB2,Asb2
GLS2,Gls2
TAF15,Taf15
ANKS1A,Anks1
MATK,Matk
HNRNPC,Hnrnpc
SLC38A8,Slc38a8
C10orf53,1700024G13Rik
PTPRE,Ptpre
TBC1D10C,Tbc1d10c
ONECUT3,Onecut3
IL22RA1,Il22ra1
CDHR5,Cdhr5
NRSN1,Nrsn1
TTC25,Ttc25
KCNA1,Kcna1
OSR2,Osr2
PNPLA7,Pnpla7
GFRA4,Gfra4
GJD2,Gjd2
YARS,Yars
HP,Hp
MIR26A2,Mir26a-2
ARMC9,Armc9
SEC62,Sec62
LSM6,Lsm6
KIAA1217,Etl4
U2AF1L5,U2af1
RDH13,Rdh13
G3BP2,G3bp2
F10,F10
RF02140,Gm27817
TM4SF4,Tm4sf4
PROCA1,Proca1
ARMCX1,Armcx1
TEX13A,Tex13a
EZH1,Ezh1
ERICH2,Erich2
CFC1,Cfc1
PGAM2,Pgam2
EFCAB7,Efcab7
KEL,Kel
SEC16A,Sec16a
ECSIT,Ecsit
MIR103A1,Mir103-1
RNU1-64P,Gm24819
ATN1,Atn1
C1QTNF1,C1qtnf1
GOLGA5,Golga5
ABHD14B,Abhd14b
RAB3C,Rab3c
GRM7,Grm7
FANCD2,Fancd2
SLC22A4,Slc22a4
PLXNB2,Plxnb2
PLXDC2,Plxdc2
UBR1,Ubr1
TFE3,Tfe3
STMND1,Stmnd1
PROM1,Prom1
C9orf84,AI481877
SEC22C,Sec22c
ACVR1C,Acvr1c
NME1,Nme1
ACHE,Ache
PRKAB1,Prkab1
GDF9,Gdf9
TPTE,Tpte
VRK2,Vrk2
FKBP10,Fkbp10
SPTBN4,Sptbn4
C15orf59,6030419C18Rik
KIAA1468,2310035C23Rik
MT-CO1,mt-Co1
RNA5SP443,n-R5s79
ASS1,Ass1
STARD4,Stard4
MYO6,Myo6
TRIM24,Trim24
C16orf72,1810013L24Rik
OR14J1,Olfr125
LRRC3B,Lrrc3b
CREB3,Creb3
TIAL1,Tial1
CDC34,Cdc34
AFTPH,Aftph
FBXL12,Fbxl12
OR9G1,Olfr1014
PPY,Ppy
NXF2,Nxf2
CDC14C,Cdc14b
KRT12,Krt12
IFNA1,Ifna1
NTSR2,Ntsr2
MFSD6L,Mfsd6l
NUAK2,Nuak2
UBL4B,Ubl4b
RIPK4,Ripk4
PPP4R2,Ppp4r2
KCNG4,Kcng4
CLINT1,Clint1
ECE2,Ece2
CYP2B6,Cyp2b10
RF02040,Gm27280
ADAM12,Adam12
ZBTB14,Zbtb14
VCL,Vcl
MYBPH,Mybph
NFE2L1,Nfe2l1
RNU6-754P,Gm24527
MIR29C,Mir29c
ANKRD11,Ankrd11
MYH14,Myh14
WDR59,Wdr59
NOP58,Nop58
NDUFAF6,Ndufaf6
NSUN6,Nsun6
RNU1-29P,Gm22666
AC093525.2,Tbc1d24
CWC25,Cwc25
SLC2A1,Slc2a1
CRNN,Crnn
ETFA,Etfa
YJU2,Yju2
PSEN2,Psen2
IQGAP3,Iqgap3
CXCL13,Cxcl13
TNFRSF11B,Tnfrsf11b
CCDC85B,Ccdc85b
NCKAP5L,Nckap5l
KDM2B,Kdm2b
KNL1,Knl1
NRDC,Nrd1
CCNK,Ccnk
ARHGAP44,Arhgap44
SFXN2,Sfxn2
NOXA1,Noxa1
NPAT,Npat
RNU6-72P,Gm23428
UNC119,Unc119
SPATA5L1,Spata5l1
DMRTB1,Dmrtb1
KLK4,Klk4
KLHL5,Klhl5
BTNL2,Btnl2
SEC24C,Sec24c
ZDHHC13,Zdhhc13
RARS,Rars
DPP7,Dpp7
SAV1,Sav1
MIP,Mip
ZNF608,Zfp608
CWH43,Cwh43
TMEM150C,Tmem150c
CCDC159,Ccdc159
FER1L5,Fer1l5
HAUS7,Haus7
COL9A2,Col9a2
IL16,Il16
ATP6V1C2,Atp6v1c2
C5AR1,C5ar1
OR52D1,Olfr646
C22orf15,Gm867
REM2,Rem2
TSGA13,Tsga13
STBD1,Stbd1
EIF2B4,Eif2b4
DCAF13,Dcaf13
CTH,Cth
MRPL16,Mrpl16
NARS,Nars
CLPB,Clpb
SLC19A2,Slc19a2
XPO6,Xpo6
BICD2,Bicd2
SCN9A,Scn9a
GPR87,Gpr87
DNAAF2,Dnaaf2
AMMECR1L,Ammecr1l
THBD,Thbd
PFKFB3,Pfkfb3
ADRB3,Adrb3
OR4C3,Olfr140
DAO,Dao
TRIM7,Trim7
RNU6-461P,Gm25054
LYPD4,Lypd4
RHBG,Rhbg
WNT4,Wnt4
ATF2,Atf2
RF02139,Gm27695
FAM78B,Fam78b
TIGD4,Tigd4
CCNB1,Ccnb1
DYRK4,Dyrk4
ELOB,Elob
EPGN,Epgn
SLFN13,Slfn9
TGIF2,Tgif2
SLC17A6,Slc17a6
ZNF292,Zfp292
MDH1,Mdh1
VSTM5,Vstm5
HTRA4,Htra4
ALDH16A1,Aldh16a1
MTHFD2,Mthfd2
C1orf21,1700025G04Rik
PSMB11,Psmb11
SGF29,Sgf29
SAA4,Saa4
